,0
2021-10-20,1.987
2021-10-21,1.989
2021-10-22,1.991
2021-10-25,1.993
2021-10-26,1.995
2021-10-27,1.997
2021-10-28,2.001
2021-10-29,2.004
2021-11-01,2.008
2021-11-02,2.012
2021-11-03,2.017
2021-11-04,2.021
2021-11-05,2.025
2021-11-08,2.03
2021-11-09,2.035
2021-11-10,2.04
2021-11-11,2.044
2021-11-12,2.049
2021-11-15,2.053
2021-11-16,2.056
2021-11-17,2.059
2021-11-18,2.063
2021-11-19,2.065
2021-11-22,2.067
2021-11-23,2.069
2021-11-24,2.071
2021-11-26,2.073
2021-11-29,2.075
2021-11-30,2.077
2021-12-01,2.078
2021-12-02,2.079
2021-12-03,2.081
2021-12-06,2.081
2021-12-07,2.08
2021-12-08,2.079
2021-12-09,2.076
2021-12-10,2.072
2021-12-13,2.068
2021-12-14,2.065
2021-12-15,2.06
2021-12-16,2.056
2021-12-17,2.052
2021-12-20,2.049
2021-12-21,2.046
2021-12-22,2.043
2021-12-23,2.04
2021-12-27,2.037
2021-12-28,2.034
2021-12-29,2.031
2021-12-30,2.028
2021-12-31,2.025
2022-01-03,2.022
2022-01-04,2.017
2022-01-05,2.013
2022-01-06,2.008
2022-01-07,2.004
2022-01-10,1.999
2022-01-11,1.994
2022-01-12,1.989
2022-01-13,1.984
2022-01-14,1.979
2022-01-18,1.975
2022-01-19,1.97
2022-01-20,1.966
2022-01-21,1.963
2022-01-24,1.959
2022-01-25,1.954
2022-01-26,1.95
2022-01-27,1.944
2022-01-28,1.94
2022-01-31,1.934
2022-02-01,1.928
2022-02-02,1.921
2022-02-03,1.915
2022-02-04,1.908
2022-02-07,1.901
2022-02-08,1.894
2022-02-09,1.887
2022-02-10,1.88
2022-02-11,1.874
2022-02-14,1.867
2022-02-15,1.861
2022-02-16,1.855
2022-02-17,1.848
2022-02-18,1.842
2022-02-22,1.837
2022-02-23,1.832
2022-02-24,1.828
2022-02-25,1.824
2022-02-28,1.821
2022-03-01,1.818
2022-03-02,1.816
2022-03-03,1.812
2022-03-04,1.81
2022-03-07,1.807
2022-03-08,1.804
2022-03-09,1.802
2022-03-10,1.8
2022-03-11,1.798
2022-03-14,1.796
2022-03-15,1.795
2022-03-16,1.795
2022-03-17,1.794
2022-03-18,1.793
2022-03-21,1.792
2022-03-22,1.79
2022-03-23,1.788
2022-03-24,1.786
2022-03-25,1.782
2022-03-28,1.779
2022-03-29,1.776
2022-03-30,1.774
2022-03-31,1.772
2022-04-01,1.77
2022-04-04,1.77
2022-04-05,1.768
2022-04-06,1.768
2022-04-07,1.766
2022-04-08,1.765
2022-04-11,1.764
2022-04-12,1.764
2022-04-13,1.762
2022-04-14,1.761
2022-04-18,1.759
2022-04-19,1.756
2022-04-20,1.754
2022-04-21,1.753
2022-04-22,1.751
2022-04-25,1.749
2022-04-26,1.746
2022-04-27,1.745
2022-04-28,1.745
2022-04-29,1.746
2022-05-02,1.745
2022-05-03,1.746
2022-05-04,1.746
2022-05-05,1.746
2022-05-06,1.746
2022-05-09,1.746
